user_school,nn,address,level,lat,lon
澳花國小,36,宜蘭縣南澳鄉澳花村中央路19號,elementary,24.329299,121.73988499999996
北成國小,97,宜蘭縣羅東鎮北成路一段125號,elementary,24.6756122,121.75858619999997
成功國小,63,宜蘭縣羅東鎮興東南路100號,elementary,24.6707283,121.76871970000002
大福國小,15,宜蘭縣壯圍鄉大福村大福路一段62巷26號,elementary,24.8017284,121.81390850000003
大湖國小,27,宜蘭縣員山鄉湖東村蜊埤路55號,elementary,24.7472416,121.69091890000004
大進國小,10,宜蘭縣冬山鄉大進村大進七路51號,elementary,24.6335776,121.71593239999993
大同國小,24,宜蘭縣大同鄉崙埤村10之9號,elementary,24.6781364,121.60906219999993
大同國中,73,宜蘭縣大同鄉太平村一鄰泰雅路四段35號,junior,24.5747615,121.47839810000005
大隱國小,20,宜蘭縣三星鄉大隱中路347號,elementary,24.668117,121.71285999999998
大洲國小,11,宜蘭縣三星鄉大洲村上將路二段500號,elementary,24.6926521,121.72863140000004
冬山國小,35,宜蘭縣冬山鄉安平村安中路35號,elementary,24.6325383,121.78978170000005
冬山國中,132,宜蘭縣冬山鄉南興村照安路26號,junior,24.6318151,121.79128709999998
東澳國小,8,宜蘭縣南澳鄉東岳村蘇花路三段209號,elementary,24.5211777,121.8327332
東光國中,261,宜蘭縣羅東鎮興東南路201號,junior,24.6718092,121.76747920000003
東興國小,18,宜蘭縣冬山鄉東城村東城路316號,elementary,24.6293269,121.80695700000001
二城國小,38,宜蘭縣頭城鎮青雲路二段200號,elementary,24.8436402,121.80495960000007
復興國中,225,宜蘭縣宜蘭市復興路二段77號,junior,24.7490995,121.74686020000001
梗枋國小,6,宜蘭縣頭城鎮更新里59號,elementary,24.9005705,121.86227529999996
公館國小,10,宜蘭縣壯圍鄉紅葉村69號,elementary,24.7356975,121.81614669999999
公正國小,28,宜蘭縣羅東鎮公正路199號,elementary,24.6792949,121.76666539999997
古亭國小,46,宜蘭縣壯圍鄉古亭村古亭路81號,elementary,24.7711848,121.79820670000004
光復國小,55,宜蘭縣宜蘭市泰山路60號,elementary,24.7545254,121.74708229999999
廣興國小,23,宜蘭縣冬山鄉廣興村梅花路303號,elementary,24.6654585,121.7423923
國華國中,265,宜蘭縣羅東鎮國華街101號,junior,24.6773107,121.76100070000007
過嶺國小,7,宜蘭縣壯圍鄉過嶺村壯濱路三段261號,elementary,24.7584226,121.81481429999997
礁溪國小,45,宜蘭縣礁溪鄉大忠村礁溪路四段135號,elementary,24.8214103,121.76951959999997
礁溪國中,219,宜蘭縣礁溪鄉礁溪路4段23號,junior,24.8171411,121.76795960000004
金洋國小,12,宜蘭縣南澳鄉金洋村11號,elementary,24.4262307,121.74931149999998
金岳國小,26,宜蘭縣南澳鄉金岳村 (路) 二號,elementary,24.4666651,121.77960710000002
凱旋國小,16,宜蘭縣宜蘭市凱旋路130號,elementary,24.7244611,121.76317500000005
凱旋國中,182,宜蘭縣宜蘭市建業里10鄰縣政7街50巷1號,junior,24.7260003,121.75731689999998
柯林國小,6,宜蘭縣冬山鄉柯林村光華路158號,elementary,24.6760644,121.73130809999998
黎明國小,59,宜蘭縣宜蘭市校舍路1號,elementary,24.7519701,121.76427220000005
力行國小,22,宜蘭縣宜蘭市力行路152號,elementary,24.764129,121.7541152
利澤國小,32,宜蘭縣五結鄉成興村利寶路101號,elementary,24.665619,121.82720649999999
利澤國中,90,宜蘭縣五結鄉成興村利寶路99號,junior,24.6658633,121.82867299999998
龍潭國小,13,宜蘭縣礁溪鄉龍潭村育龍路71號,elementary,24.7794243,121.74496650000003
羅東國小,68,宜蘭縣羅東鎮民族路1號,elementary,24.6732595,121.77291220000006
羅東國中,179,宜蘭縣羅東鎮中華路99號,junior,24.6825085,121.76830169999994
馬賽國小,31,宜蘭縣蘇澳鎮永榮里大同路108號,elementary,24.6215957,121.83454770000003
南安國中,85,宜蘭縣蘇澳鎮學府路117號,junior,24.5760283,121.86900089999995
南澳高中,243,宜蘭縣南澳鄉蘇花路二段301號,senior,24.4655704,121.80033179999998
南澳國小,26,宜蘭縣南澳鄉南澳村中正路15號,elementary,24.4672359,121.80118130000005
南屏國小,38,宜蘭縣宜蘭市泰山路98號,elementary,24.7541878,121.74313819999998
南山國小,27,宜蘭縣大同鄉南山村四鄰埤南巷31之3號,elementary,24.4378054,121.37983029999998
內城國中(小),54,宜蘭縣員山鄉內城村內城路545號,junior,24.7188831,121.68750130000001
蓬萊國小,7,宜蘭縣蘇澳鎮南澳路85號,elementary,24.464965,121.80375389999995
清溝國小,36,宜蘭縣冬山鄉清溝村永清路369號,elementary,24.6644194,121.7640437
三民國小,26,宜蘭縣礁溪鄉三民村十六結路100號,elementary,24.8130527,121.7599778
三星國小,25,宜蘭縣三星鄉三星路五段86號,elementary,24.6660179,121.65082959999995
三星國中,166,宜蘭縣三星鄉月眉村月眉街54號,junior,24.6676884,121.65392150000002
深溝國小,7,宜蘭縣員山鄉深溝村惠民路266號,elementary,24.7232605,121.72385180000003
士敏國小,21,宜蘭縣蘇澳鎮光明路8號,elementary,24.5922406,121.85312650000003
順安國小,33,宜蘭縣冬山鄉順安村永興路二段17號,elementary,24.6550203,121.76339170000006
順安國中,66,宜蘭縣冬山鄉順安村永興路一段359號,junior,24.6547852,121.76575300000002
四季國小,14,宜蘭縣大同鄉四季村和勳巷1號,elementary,24.4880169,121.42600990000005
四結國小,7,宜蘭縣礁溪鄉吳沙村育英路46號,elementary,24.7871788,121.75976459999993
蘇澳國小,60,宜蘭縣蘇澳鎮中山路一段366號,elementary,24.5959851,121.8416052
蘇澳國中,136,宜蘭縣蘇澳鎮中山路二段1號,junior,24.5963579,121.83546380000007
同樂國小,34,宜蘭縣員山鄉同樂村新城路84之4號,elementary,24.7628117,121.72878579999997
頭城國小,28,宜蘭縣頭城鎮開蘭路282號,elementary,24.8629826,121.82732550000003
頭城國中,181,宜蘭縣頭城鎮復興路145號,junior,24.8642161,121.82132079999997
萬富國小,17,宜蘭縣三星鄉萬富村健富路一段309號,elementary,24.679101,121.68833300000006
文化國中,241,宜蘭縣蘇澳鎮永榮里新馬路2號,junior,24.6180605,121.83073669999999
吳沙國中,60,宜蘭縣礁溪鄉育英路79號,junior,24.785836,121.75904100000002
五結國小,51,宜蘭縣五結鄉國民路1號,elementary,24.689771,121.79224640000007
五結國中,91,宜蘭縣五結鄉大吉村大吉路12-3號,junior,24.6962092,121.80031669999994
武塔國小,8,宜蘭縣南澳鄉武塔村新溪路1號,elementary,24.4452836,121.77765279999994
憲明國小,8,宜蘭縣三星鄉天山村福山街119號,elementary,24.6615627,121.61866499999996
孝威國小,9,宜蘭縣五結鄉孝威路328號,elementary,24.696675,121.81143700000007
新南國小,7,宜蘭縣壯圍鄉新南村120之1號,elementary,24.72293,121.8000204
新生國小,42,宜蘭縣宜蘭市大坡路一段100號,elementary,24.7700581,121.75488259999997
興中國中,83,宜蘭縣五結鄉上四村中正東路50號,junior,24.698913,121.77087180000001
學進國小,16,宜蘭縣五結鄉中正路三段151號,elementary,24.7066136,121.77121620000003
宜蘭國小,12,宜蘭縣宜蘭市崇聖街2號,elementary,24.7531326,121.75404279999998
宜蘭國中,174,宜蘭縣宜蘭市樹人路37號,junior,24.7619228,121.75844370000004
永樂國小,12,宜蘭縣蘇澳鎮永樂路1號,elementary,24.5759487,121.84398620000002
育才國小,21,宜蘭縣宜蘭市進士路8號,elementary,24.733611,121.73730899999998
育英國小,30,宜蘭縣蘇澳鎮褔德路134號,elementary,24.6397131,121.83208609999997
員山國小,10,宜蘭縣員山鄉員山村復興路39號,elementary,24.7442688,121.72287789999996
員山國中,90,宜蘭縣員山鄉溫泉路92號,junior,24.7503024,121.71460810000008
岳明國小,29,宜蘭縣蘇澳鎮嶺腳路140號,elementary,24.6138855,121.8533741
中華國中,218,宜蘭縣宜蘭市東港路15-3號,junior,24.7515289,121.76583240000002
中山國小,21,宜蘭縣宜蘭市崇聖街4號,elementary,24.7540707,121.75434870000004
中興國小,6,宜蘭縣五結鄉四結村中興路三段67號,elementary,24.6927421,121.7724498
竹安國小,23,宜蘭縣頭城鎮竹安里頭濱路一段601號,elementary,24.825115,121.82076299999994
竹林國小,52,宜蘭縣羅東鎮復興路二段128號,elementary,24.6886931,121.76606900000002
壯圍國小,19,宜蘭縣壯圍鄉吉祥村壯五路55號,elementary,24.7443612,121.79003820000003
壯圍國中,296,宜蘭縣壯圍鄉富祥路588號,junior,24.7487706,121.78856589999998
